OUTFILE; OUT2DSET; TRASSPLINE; DIRECTIONSPLINE; INFILE
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield0_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield0_us_set; 2.0 280.0 -328.1999816894531 2.0 280.0 -328.1999816894531; 2.0 180.0 -328.1999816894531 2.0 180.0 -328.1999816894531; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield0_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield1_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield1_us_set; 2.0 280.0 -328.1999816894531 2.0 280.0 -328.1999816894531; 2.0 180.0 -328.1999816894531 2.0 180.0 -328.1999816894531; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield1_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield2_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield2_us_set; 2.0 279.0 -328.1999816894531 2.0 279.0 -328.1999816894531; 2.0 179.0 -328.1999816894531 2.0 179.0 -328.1999816894531; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield2_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield3_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield3_us_set; 2.0 280.0 -328.1999816894531 2.0 280.0 -328.1999816894531; 2.0 180.0 -328.1999816894531 2.0 180.0 -328.1999816894531; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield3_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield4_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield4_us_set; 2.0 279.0 -328.1999816894531 2.0 279.0 -328.1999816894531; 2.0 179.0 -328.1999816894531 2.0 179.0 -328.1999816894531; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield4_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield5_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield5_us_set; 2.0 280.0 -328.1999816894531 2.0 280.0 -328.1999816894531; 2.0 180.0 -328.1999816894531 2.0 180.0 -328.1999816894531; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield5_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield6_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield6_us_set; 2.0 279.0 -328.1999816894531 2.0 279.0 -328.1999816894531; 2.0 179.0 -328.1999816894531 2.0 179.0 -328.1999816894531; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield6_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield7_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield7_us_set; 2.0 280.0 -328.1999816894531 2.0 280.0 -328.1999816894531; 2.0 180.0 -328.1999816894531 2.0 180.0 -328.1999816894531; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield7_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield8_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield8_us_set; 2.0 277.0 -328.1999816894531 2.0 277.0 -328.1999816894531; 2.0 177.0 -328.1999816894531 2.0 177.0 -328.1999816894531; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield8_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield9_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield9_us_set; 2.0 277.0 -328.1999816894531 2.0 277.0 -328.1999816894531; 2.0 177.0 -328.1999816894531 2.0 177.0 -328.1999816894531; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse005/verse005forcefield9_lumbar_deformed_seg_sim.nii.gz
