OUTFILE; OUT2DSET; TRASSPLINE; DIRECTIONSPLINE; INFILE
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield0_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield0_us_set; 13.468982156804366 -101.51532385657205 -1156.1296603150902 13.468982156804366 -101.51532385657205 -1156.1296603150902; 17.04161935648684 -201.13400866781782 -1148.1701440033335 17.04161935648684 -201.13400866781782 -1148.1701440033335; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield0_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield1_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield1_us_set; 13.504708528801189 -102.51151070468451 -1156.0500651519726 13.504708528801189 -102.51151070468451 -1156.0500651519726; 17.077345728483664 -202.1301955159303 -1148.090548840216 17.077345728483664 -202.1301955159303 -1148.090548840216; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield1_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield2_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield2_us_set; 13.433255784807535 -100.5191370084596 -1156.2092554782078 13.433255784807535 -100.5191370084596 -1156.2092554782078; 17.005892984490018 -200.13782181970538 -1148.249739166451 17.005892984490018 -200.13782181970538 -1148.249739166451; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield2_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield3_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield3_us_set; 13.468982156804366 -101.51532385657205 -1156.1296603150902 13.468982156804366 -101.51532385657205 -1156.1296603150902; 17.04161935648684 -201.13400866781782 -1148.1701440033335 17.04161935648684 -201.13400866781782 -1148.1701440033335; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield3_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield4_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield4_us_set; 13.504708528801189 -102.51151070468451 -1156.0500651519726 13.504708528801189 -102.51151070468451 -1156.0500651519726; 17.077345728483664 -202.1301955159303 -1148.090548840216 17.077345728483664 -202.1301955159303 -1148.090548840216; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield4_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield5_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield5_us_set; 13.433255784807535 -100.5191370084596 -1156.2092554782078 13.433255784807535 -100.5191370084596 -1156.2092554782078; 17.005892984490018 -200.13782181970538 -1148.249739166451 17.005892984490018 -200.13782181970538 -1148.249739166451; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield5_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield6_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield6_us_set; 13.468982156804366 -101.51532385657205 -1156.1296603150902 13.468982156804366 -101.51532385657205 -1156.1296603150902; 17.04161935648684 -201.13400866781782 -1148.1701440033335 17.04161935648684 -201.13400866781782 -1148.1701440033335; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield6_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield7_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield7_us_set; 13.433255784807535 -100.5191370084596 -1156.2092554782078 13.433255784807535 -100.5191370084596 -1156.2092554782078; 17.005892984490018 -200.13782181970538 -1148.249739166451 17.005892984490018 -200.13782181970538 -1148.249739166451; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield7_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield8_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield8_us_set; 13.433255784807535 -100.5191370084596 -1156.2092554782078 13.433255784807535 -100.5191370084596 -1156.2092554782078; 17.005892984490018 -200.13782181970538 -1148.249739166451 17.005892984490018 -200.13782181970538 -1148.249739166451; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield8_lumbar_deformed_seg_sim.nii.gz
E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield9_lumbar_deformed_us_sim.imf; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield9_us_set; 13.540434900798012 -103.50769755279697 -1155.970469988855 13.540434900798012 -103.50769755279697 -1155.970469988855; 17.113072100480494 -203.12638236404274 -1148.0109536770983 17.113072100480494 -203.12638236404274 -1148.0109536770983; E:\course\AIforMedicine\usct\medphys_ct_us_registration\01_training\sub-verse004/verse004forcefield9_lumbar_deformed_seg_sim.nii.gz
